"Reporting starts","Reporting ends","Ad name","Date created","Attribution setting","Amount spent (USD)","Cost per results","Result indicator",Purchases,"Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (USD)","CPC (cost per link click) (USD)","Unique CTR (link click-through rate)",Reach,Impressions,Hook,Hold
2019-12-30,2023-01-30,"projector glitch",2020-04-16,"28-day click or 1-day view",7.27,,,,,3.921251,0.519286,0.775194,1806,1854,0.07820928,0.02535059
2019-12-30,2023-01-30,"projector glitch",2020-04-16,"28-day click or 1-day view",0.32,,,,,2.857143,0.106667,2.702703,111,112,0.09821429,0.02678571
2019-12-30,2023-01-30,"projector glitch",2020-04-16,"28-day click or 1-day view",0.18,,,,,1.85567,0.18,1.030928,97,97,0.05154639,0.03092784
2019-12-30,2023-01-30,"projector glitch",2020-04-16,"28-day click or 1-day view",1.34,,,,,3.160377,0.67,0.478469,418,424,0.06132075,0.01650943
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.66,,,,,4.298812,4.22,0.104384,2874,2945,0.02886248,0.00747029
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.76,,,,,3.989994,4.253333,0.095633,3137,3198,0.03001876,0.00969356
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.75,,,,,4.61288,4.25,0.110947,2704,2764,0.02930535,0.00832127
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.73,,,,,4.785714,4.243333,0.11446,2621,2660,0.02706767,0.01015038
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.72,,,,,4.867968,6.36,0.07874,2540,2613,0.03329506,0.00956755
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.71,,,,,3.852683,1.815714,0.216718,3230,3299,0.02970597,0.01060928
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.74,,,,,4.0483,12.74,0.032531,3074,3147,0.0257388,0.00889736
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.73,,,,,4.213836,6.365,0.067499,2963,3021,0.02912943,0.01092354
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.85,,,,,5.881007,4.283333,0.139925,2144,2185,0.03524027,0.00869565
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.77,,,,,4.079872,1.59625,0.260586,3070,3130,0.03738019,0.01277955
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",219.66,109.83,actions:offsite_conversion.fb_pixel_purchase,2,0.518756,5.609725,1.861525,0.340433,34368,39157,0.07398422,0.01172204
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",107.02,35.673333333333,actions:offsite_conversion.fb_pixel_purchase,3,1.625117,5.411336,2.1404,0.255848,19152,19777,0.06927239,0.01618041
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",12.92,,,,,7.773767,6.46,0.124766,1603,1662,0.09085439,0.02105897
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",63.65,,,,,6.318872,1.872059,0.355203,9572,10073,0.07465502,0.01439492
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",31.12,,,,,6.930958,1.556,0.456204,4384,4490,0.08841871,0.01982183
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",35.88,,,,,8.907646,2.99,0.282051,3900,4028,0.08639523,0.02432969
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",90.16,90.16,actions:offsite_conversion.fb_pixel_purchase,1,0.665151,5.591665,1.639273,0.366569,15004,16124,0.07516745,0.01308608
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",39.15,,,,,6.141176,1.864286,0.347337,6046,6375,0.07121569,0.01145098
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",91.38,,,,,6.174324,1.791765,0.352311,14192,14800,0.07324324,0.01364865
2019-12-30,2023-01-30,"ig stimulus check",2020-04-16,"28-day click or 1-day view",35.45,,,,,8.983781,2.532143,0.369393,3790,3946,0.09528637,0.02787633
2019-12-30,2023-01-30,weekend,2020-04-16,"28-day click or 1-day view",84.63,14.105,actions:offsite_conversion.fb_pixel_purchase,6,4.747962,2.787549,0.269522,1.121749,27992,30360,0.07483531,0.02374835
2019-12-30,2023-01-30,weekend,2020-04-16,"28-day click or 1-day view",84.61,14.101666666667,actions:offsite_conversion.fb_pixel_purchase,6,4.252689,2.923231,0.26195,1.167005,27592,28944,0.08005113,0.02667219
2019-12-30,2023-01-30,weekend,2020-04-16,"28-day click or 1-day view",12.81,,,,,3.113001,0.2562,1.206302,4062,4115,0.08967193,0.02891859
2019-12-30,2023-01-30,weekend,2020-04-16,"28-day click or 1-day view",30.33,30.33,actions:offsite_conversion.fb_pixel_purchase,1,1.97725,2.847085,0.233308,1.273761,10206,10653,0.08194875,0.02675303
2019-12-30,2023-01-30,weekend,2020-04-16,"28-day click or 1-day view",75.96,15.192,actions:offsite_conversion.fb_pixel_purchase,5,4.500395,2.649829,0.266526,1.005419,28048,28666,0.07318775,0.0236866
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.01,,,,,2.342616,0.286,0.821789,4259,4273,0.06248537,0.01965832
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.02,,,,,2.437956,0.334,0.733855,4088,4110,0.06301703,0.02141119
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",9.96,,,,,1.940386,0.292941,0.662381,5133,5133,0.06234171,0.02065069
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.03,,,,,2.111579,0.334333,0.635189,4723,4750,0.06210526,0.02
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.22,10.22,actions:offsite_conversion.fb_pixel_purchase,1,5.867906,2.303877,0.292,0.792214,4418,4436,0.06311993,0.01983769
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",9.88,,,,,2.070411,0.34069,0.61117,4745,4772,0.06286672,0.02158424
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10,,,,,2.126302,0.217391,0.983116,4679,4703,0.06549011,0.01849883
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.17,10.17,actions:offsite_conversion.fb_pixel_purchase,1,5.896755,2.07424,0.242143,0.841198,4874,4903,0.05975933,0.01733632
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10,,,,,2.294104,0.238095,0.967965,4339,4359,0.06056435,0.01927047
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.01,,,,,2.111814,0.238333,0.890019,4719,4740,0.06033755,0.0185654
2019-12-30,2023-01-30,"lil uzi",2020-04-20,"28-day click or 1-day view",38.13,38.13,actions:offsite_conversion.fb_pixel_purchase,1,1.572777,3.134917,0.286692,1.09348,12163,12163,0.31266957,0.0601003
2019-12-30,2023-01-30,"lil uzi",2020-04-20,"28-day click or 1-day view",31.03,,,,,3.176049,0.319897,0.993445,9764,9770,0.31463664,0.05844422
2019-12-30,2023-01-30,"lil uzi",2020-04-20,"28-day click or 1-day view",91.92,18.384,actions:offsite_conversion.fb_pixel_purchase,5,3.262076,2.878076,0.312653,0.939269,31088,31938,0.29635544,0.051099
2019-12-30,2023-01-30,"lil uzi",2020-04-20,"28-day click or 1-day view",135.88,19.411428571429,actions:offsite_conversion.fb_pixel_purchase,7,3.045334,2.805236,0.31822,0.947688,45057,48438,0.28110161,0.04954788
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",0.53,,,,,5.145631,0.53,0.980392,102,103,0.17475728,0.02912621
2019-12-30,2023-01-30,"lil uzi",2020-04-20,"28-day click or 1-day view",167.74,27.956666666667,actions:offsite_conversion.fb_pixel_purchase,6,2.145106,3.232358,0.288709,1.230416,46976,51894,0.3031757,0.05619147
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",11.56,,,,,5.023903,0.330286,1.630182,2147,2301,0.16166884,0.01521078
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",4.46,,,,,5.222482,0.27875,1.975309,810,854,0.1557377,0.02576112
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",2.67,,,,,4.784946,0.267,1.824818,548,558,0.17204301,0.01433692
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",0.89,,,,,4.405941,0.445,1.010101,198,202,0.24257426,0.03465347
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.08,,,,,2.253521,0.258462,0.875028,4457,4473,0.06773977,0.02392131
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.25,10.25,actions:offsite_conversion.fb_pixel_purchase,1,5.850732,1.871121,0.238372,0.788701,5452,5478,0.05805038,0.01861993
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",9.97,,,,,1.918414,0.203469,0.945581,5182,5197,0.06330575,0.0236675
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.05,,,,,1.898017,0.324194,0.585458,5295,5295,0.06345609,0.02096317
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",9.96,,,,,2.224207,0.276667,0.808262,4454,4478,0.06342117,0.02099151
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",9.98,,,,,2.64511,0.293529,0.906425,3751,3773,0.07765704,0.02411874
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.23,10.23,actions:offsite_conversion.fb_pixel_purchase,1,5.86217,2.177059,0.227333,0.96401,4668,4699,0.06363056,0.02340924
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.05,,,,,1.768121,0.287143,0.615764,5684,5684,0.06052076,0.01864884
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",9.92,,,,,2.69492,0.225455,1.201529,3662,3681,0.07117631,0.02309155
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.1,,,,,2.120512,0.348276,0.590468,4742,4763,0.0617258,0.02183498
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.01,,,,,1.755217,0.294412,0.611071,5564,5703,0.05751359,0.01998948
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",10.05,,,,,2.006389,0.233721,0.842866,4983,5009,0.06667998,0.02216011
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",9.96,,,,,2.305022,0.255385,0.906977,4300,4321,0.06665124,0.01920852
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",23.96,23.96,actions:offsite_conversion.fb_pixel_purchase,1,2.502922,2.207685,0.278605,0.794393,10700,10853,0.05860131,0.01999447
2019-12-30,2023-01-30,weekend,2020-04-20,"28-day click or 1-day view",23.94,23.94,actions:offsite_conversion.fb_pixel_purchase,1,2.505013,2.423568,0.29925,0.817244,9789,9878,0.06894108,0.02055072
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",14.45,14.45,actions:offsite_conversion.fb_pixel_purchase,1,4.150173,2.627751,0.218939,1.186564,5478,5499,0.07201309,0.02582288
2019-12-30,2023-01-30,"glitch projector",2020-04-20,"28-day click or 1-day view",5.23,,,,,3.56267,0.275263,1.304945,1456,1468,0.09332425,0.02247956
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",13.54,13.54,actions:offsite_conversion.fb_pixel_purchase,1,4.429099,2.775728,0.221967,1.237369,4849,4878,0.07790078,0.02398524
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",14.38,,,,,2.823483,0.228254,1.241135,5076,5093,0.076183,0.02434714
2019-12-30,2023-01-30,"glitch projector",2020-04-20,"28-day click or 1-day view",6.15,6.15,actions:offsite_conversion.fb_pixel_purchase,1,9.75122,3.978008,0.227778,1.697128,1532,1546,0.10219922,0.02781371
2019-12-30,2023-01-30,"glitch projector",2020-04-20,"28-day click or 1-day view",5.62,,,,,3.746667,0.267619,1.41129,1488,1500,0.09333333,0.02866667
2019-12-30,2023-01-30,"glitch projector",2020-04-20,"28-day click or 1-day view",6.53,,,,,4.210187,0.296818,1.44357,1524,1551,0.11025145,0.02450032
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",13.41,,,,,2.548461,0.298,0.855188,5262,5262,0.07145572,0.02470544
2019-12-30,2023-01-30,"glitch projector",2020-04-20,"28-day click or 1-day view",5.18,5.18,actions:offsite_conversion.fb_pixel_purchase,1,11.57722,3.521414,0.32375,1.102688,1451,1471,0.08837525,0.02515296
2019-12-30,2023-01-30,"after hours",2020-04-20,"28-day click or 1-day view",13.91,,,,,2.598543,0.217344,1.195591,5353,5353,0.08182328,0.02503269
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",473.47,18.9388,actions:offsite_conversion.fb_pixel_purchase,25,3.255222,3.303863,0.307848,1.117433,136384,143308,0.07564128,0.02622324
2019-12-30,2023-01-30,"weeknd - Copy",2020-04-22,"28-day click or 1-day view",0,,,,,0,,0,4,4,,
2019-12-30,2023-01-30,"projector glitch",2020-04-22,"28-day click or 1-day view",0.92,,,,,5.287356,0.92,0.574713,174,174,0.06896552,0.02298851
2019-12-30,2023-01-30,weeknd,2020-04-22,"28-day click or 1-day view",17.29,,,,,3.915308,0.421707,0.933303,4393,4416,0.06951993,0.02332428
2019-12-30,2023-01-30,"lil uzi",2020-04-22,"28-day click or 1-day view",0.7,,,,,3.167421,0.35,0.909091,220,221,0.28054299,0.05882353
2019-12-30,2023-01-30,"after hours",2020-04-22,"28-day click or 1-day view",13.44,13.44,actions:offsite_conversion.fb_pixel_purchase,1,4.462054,5.215367,0.305455,1.793161,2398,2577,0.19130772,0.02483508
2019-12-30,2023-01-30,"lil uzi",2020-04-22,"28-day click or 1-day view",15.6,7.8,actions:offsite_conversion.fb_pixel_purchase,2,7.688462,3.651685,0.318367,1.168893,4192,4272,0.31601124,0.05617978
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",261.44,23.767272727273,actions:offsite_conversion.fb_pixel_purchase,11,2.844515,3.545286,0.327209,1.114417,71248,73743,0.07489524,0.02519561
2019-12-30,2023-01-30,"after hours",2020-04-22,"28-day click or 1-day view",0.04,,,,,2,0.04,5,20,20,0.2,
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",421.45,22.181578947368,actions:offsite_conversion.fb_pixel_purchase,19,3.272939,3.567438,0.316642,1.131738,116193,118138,0.07734175,0.02639286
2019-12-30,2023-01-30,"projector glitch",2020-04-22,"28-day click or 1-day view",1.14,,,,,5.480769,1.14,0.483092,207,208,0.09615385,0.04807692
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",26.25,,,,,3.00584,0.267857,1.115455,8696,8733,0.07007901,0.0224436
2019-12-30,2023-01-30,"projector glitch",2020-04-22,"28-day click or 1-day view",0.53,,,,,4.206349,0.53,0.806452,124,126,0.11111111,0.03968254
2019-12-30,2023-01-30,"projector glitch",2020-04-22,"28-day click or 1-day view",5.54,,,,,4.277992,0.461667,0.959233,1251,1295,0.0988417,0.02316602
2019-12-30,2023-01-30,"weeknd - Copy",2020-04-22,"28-day click or 1-day view",0.13,,,,,5,,0,26,26,,
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",121.87,30.4675,actions:offsite_conversion.fb_pixel_purchase,4,2.657586,3.149828,0.241327,1.303135,38369,38691,0.0766845,0.02488951
2019-12-30,2023-01-30,weeknd,2020-04-22,"28-day click or 1-day view",48.42,24.21,actions:offsite_conversion.fb_pixel_purchase,2,2.477076,3.508187,0.356029,1.019946,13236,13802,0.08064049,0.02738734
2019-12-30,2023-01-30,weeknd,2020-04-22,"28-day click or 1-day view",6.28,,,,,3.544018,0.483077,0.744133,1747,1772,0.06207675,0.0231377
2019-12-30,2023-01-30,"weeknd - Copy",2020-04-22,"28-day click or 1-day view",0.44,,,,,3.826087,,0,114,115,0.11304348,0.04347826
2019-12-30,2023-01-30,"lil uzi",2020-04-22,"28-day click or 1-day view",69.08,17.27,actions:offsite_conversion.fb_pixel_purchase,4,3.342357,3.637129,0.314,1.188896,18084,18993,0.27799716,0.05333544
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",148.83,21.261428571429,actions:offsite_conversion.fb_pixel_purchase,7,2.780353,3.058821,0.28241,1.108666,47264,48656,0.0738244,0.02536172
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",114.8,14.35,actions:offsite_conversion.fb_pixel_purchase,8,5.276655,2.993793,0.293606,1.052489,36960,38346,0.07174151,0.02430501
2019-12-30,2023-01-30,weeknd,2020-04-22,"28-day click or 1-day view",5.58,,,,,4.157973,0.465,0.898204,1336,1342,0.06557377,0.02459016
2019-12-30,2023-01-30,"weeknd - Copy",2020-04-22,"28-day click or 1-day view",0.1,,,,,5.263158,,0,17,19,0.05263158,
2019-12-30,2023-01-30,"after hours",2020-04-22,"28-day click or 1-day view",25.07,12.535,actions:offsite_conversion.fb_pixel_purchase,2,4.784204,5.206646,0.368676,1.425707,4489,4815,0.17902388,0.02180685
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",168.8,15.345454545455,actions:offsite_conversion.fb_pixel_purchase,11,4.405628,3.569691,0.350936,1.008099,46920,47287,0.07526381,0.02448876
2019-12-30,2023-01-30,weeknd,2020-04-22,"28-day click or 1-day view",17.43,,,,,3.455591,0.370851,0.963115,4880,5044,0.07533703,0.02379064
2019-12-30,2023-01-30,weekend,2020-04-22,"28-day click or 1-day view",383.17,25.544666666667,actions:offsite_conversion.fb_pixel_purchase,15,2.457264,3.332667,0.298885,1.156396,109824,114974,0.07954842,0.02749317
2019-12-30,2023-01-30,"projector glitch",2020-04-22,"28-day click or 1-day view",0.78,,,,,4.615385,0.111429,4.191617,167,169,0.12426036,0.01775148
2019-12-30,2023-01-30,"weeknd - Copy",2020-04-22,"28-day click or 1-day view",0.09,,,,,2.8125,0.09,3.333333,30,32,0.09375,0.03125
2019-12-30,2023-01-30,"projector glitch",2020-04-22,"28-day click or 1-day view",3.78,,,,,4.122137,0.4725,0.914286,875,917,0.08833152,0.03162486
2019-12-30,2023-01-30,"lil uzi",2020-04-25,"28-day click or 1-day view",25.09,25.09,actions:offsite_conversion.fb_pixel_purchase,1,4.064169,3.592497,0.348472,1.030928,6984,6984,0.29538946,0.05283505
2019-12-30,2023-01-30,"lil uzi",2020-04-25,"28-day click or 1-day view",17.07,17.07,actions:offsite_conversion.fb_pixel_purchase,1,3.513181,2.501099,0.187582,1.318681,6825,6825,0.39619048,0.07531136
2019-12-30,2023-01-30,"after hours",2020-04-25,"28-day click or 1-day view",16.37,,,,,4.754575,0.389762,1.271186,3304,3443,0.21870462,0.02672088
2019-12-30,2023-01-30,"after hours",2020-04-25,"28-day click or 1-day view",0.8,,,,,6.779661,0.2,3.669725,109,118,0.1779661,0.02542373
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.61,,,,,3.328293,0.359388,0.941764,5203,5291,0.07295407,0.02797203
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.53,,,,,3.520787,0.372979,0.93553,4917,4979,0.07893151,0.02831894
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.43,,,,,3.725155,0.335192,1.102941,4624,4679,0.08100021,0.02564651
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.57,,,,,3.293963,0.37383,0.889404,5172,5334,0.07124109,0.02343457
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.52,,,,,3.73004,0.398182,0.925926,4644,4697,0.07770918,0.02554822
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.43,17.43,actions:offsite_conversion.fb_pixel_purchase,1,3.44062,3.544844,0.341765,1.04852,4864,4917,0.08196055,0.02867602
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.48,8.74,actions:offsite_conversion.fb_pixel_purchase,2,6.861556,3.48346,0.286557,1.190716,4955,5018,0.07991232,0.02570745
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.41,17.41,actions:offsite_conversion.fb_pixel_purchase,1,3.444572,3.679983,0.378478,0.986278,4664,4731,0.07651659,0.02515324
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.66,17.66,actions:offsite_conversion.fb_pixel_purchase,1,3.39581,3.726525,0.392444,0.96195,4678,4739,0.07702047,0.0310192
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.38,,,,,3.949102,0.369787,1.056742,4353,4401,0.07930016,0.02613042
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",0.03,,,,,1.764706,,0,17,17,0.05882353,
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.39,17.39,actions:offsite_conversion.fb_pixel_purchase,1,3.448534,3.148081,0.305088,1.018519,5400,5524,0.07639392,0.02643012
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",19.61,19.61,actions:offsite_conversion.fb_pixel_purchase,1,5.199898,3.503037,0.326833,1.097695,5466,5598,0.07752769,0.02500893
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.78,8.26,actions:offsite_conversion.fb_pixel_purchase,3,7.260291,3.383859,0.42,0.821956,7178,7323,0.07469616,0.02321453
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.73,24.73,actions:offsite_conversion.fb_pixel_purchase,1,2.42499,3.680607,0.329733,1.155624,6490,6719,0.07858312,0.02857568
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.42,,,,,3.634467,0.405116,0.907556,4738,4793,0.07886501,0.02295014
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.68,24.68,actions:offsite_conversion.fb_pixel_purchase,1,2.429903,3.508173,0.411333,0.862813,6954,7035,0.07547974,0.02402274
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.36,17.36,actions:offsite_conversion.fb_pixel_purchase,1,3.454493,3.486644,0.321481,1.098454,4916,4979,0.0825467,0.02912231
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",19.67,,,,,3.513755,0.3934,0.928333,5386,5598,0.07520543,0.02608074
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",19.72,,,,,3.545487,0.428696,0.841566,5466,5562,0.07029845,0.02193456
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",0,,,,,0,,0,1,1,,
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.72,12.36,actions:offsite_conversion.fb_pixel_purchase,2,4.609628,3.67693,0.405246,0.929595,6562,6723,0.07481779,0.02603005
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",19.6,,,,,3.68006,0.34386,1.099961,5182,5326,0.0839279,0.02947803
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.74,24.74,actions:offsite_conversion.fb_pixel_purchase,1,2.42401,3.697504,0.392698,0.96005,6458,6691,0.07876252,0.02764908
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.7,8.2333333333333,actions:offsite_conversion.fb_pixel_purchase,3,8.984211,3.640383,0.441071,0.800967,6617,6785,0.07663965,0.0256448
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.34,,,,,3.624582,0.3468,1.059547,4719,4784,0.08214883,0.02654682
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.4,,,,,3.591331,0.435,0.835771,4786,4845,0.07327141,0.02352941
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.31,,,,,3.533374,0.368298,0.973891,4826,4899,0.07123903,0.02224944
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.85,8.2833333333333,actions:offsite_conversion.fb_pixel_purchase,3,7.239839,3.449473,0.355,0.949986,7158,7204,0.07704053,0.02568018
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.67,24.67,actions:offsite_conversion.fb_pixel_purchase,1,2.430888,3.505755,0.397903,0.894919,6928,7037,0.07233196,0.02231064
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.42,,,,,3.325062,0.370638,0.909795,5166,5239,0.07864096,0.02653178
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.44,17.44,actions:offsite_conversion.fb_pixel_purchase,1,5.846904,3.417597,0.335385,1.034208,5028,5103,0.07760141,0.02821869
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",19.63,19.63,actions:offsite_conversion.fb_pixel_purchase,1,3.055018,3.789575,0.370377,1.066828,4968,5180,0.08243243,0.02915058
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.9,24.9,actions:offsite_conversion.fb_pixel_purchase,1,2.408434,3.691076,0.42931,0.883608,6564,6746,0.07648977,0.02697895
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",0.1,,,,,3.030303,,0,33,33,0.12121212,0.06060606
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.4,8.7,actions:offsite_conversion.fb_pixel_purchase,2,6.893103,3.433985,0.305263,1.10519,5067,5067,0.074403,0.0252615
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.78,24.78,actions:offsite_conversion.fb_pixel_purchase,1,2.420097,3.661348,0.393333,0.934016,6638,6768,0.08141253,0.02777778
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",19.57,,,,,3.389331,0.331695,0.996329,5721,5774,0.07533772,0.02164877
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.63,24.63,actions:offsite_conversion.fb_pixel_purchase,1,2.434836,3.547969,0.332838,1.077147,6870,6942,0.0809565,0.02492077
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",0.03,,,,,1.25,,0,24,24,0.04166667,
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.83,6.2075,actions:offsite_conversion.fb_pixel_purchase,4,9.660894,3.729908,0.365147,1.035954,6564,6657,0.0800661,0.02809073
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",24.67,12.335,actions:offsite_conversion.fb_pixel_purchase,2,4.861775,3.425913,0.373788,0.933258,7072,7201,0.07540619,0.02596862
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.35,,,,,3.602575,0.413095,0.884956,4746,4816,0.07765781,0.02304817
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",19.49,,,,,3.555272,0.348036,1.036461,5403,5482,0.08080992,0.02371397
2019-12-30,2023-01-30,weekend,2020-04-25,"28-day click or 1-day view",17.5,17.5,actions:offsite_conversion.fb_pixel_purchase,1,3.426857,3.581662,0.416667,0.869385,4831,4886,0.07572657,0.02476463
